step-ag strain-ag stress-ag energy-ag
500 0.0155732434782337 0.00094008307072446 -1960237.49002386
1000 0.0160810300999728 -0.0154253219357201 -1960237.39449052
1500 0.0160810300999728 0.0387089032813229 -1960218.91633499
2000 0.0165888167217119 0.0540460447906933 -1960262.71231413
2500 0.0165888167217119 0.112730062922162 -1960203.53471808
3000 0.017096603343451 0.120266877624982 -1960232.38064432
3500 0.017096603343451 0.173348709042246 -1960209.86487462
4000 0.0176043899651901 0.169381169496153 -1960213.72468054
4500 0.0176043899651901 0.216936093787469 -1960197.91429413
5000 0.0181121765869293 0.215954070403923 -1960168.92778325
5500 0.0181121765869293 0.272734548673466 -1960146.92786571
6000 0.0186199632086684 0.275073911562594 -1960102.39052385
6500 0.0186199632086684 0.333323647714888 -1960103.31203569
7000 0.0191277498304075 0.341193283370711 -1960069.65322709
7500 0.0191277498304075 0.394885596337229 -1960033.30257773
8000 0.0196355364521466 0.392537033831652 -1960001.18527475
8500 0.0196355364521466 0.443179322735992 -1960017.75560369
9000 0.0201433230738857 0.433600532109435 -1959987.19798026
9500 0.0201433230738857 0.485892940114845 -1959949.08748439
10000 0.0206511096956248 0.489237062314684 -1959977.52766567
10500 0.0206511096956248 0.538864803959134 -1959904.75504861
11000 0.0211588963173639 0.545768399500381 -1959920.32670453
11500 0.0211588963173639 0.597451355187549 -1959865.80084363
12000 0.0216666829391031 0.592634035831934 -1959862.37634488
12500 0.0216666829391031 0.643424419430626 -1959786.62647327
13000 0.0221744695608422 0.640573712266936 -1959812.99869168
13500 0.0221744695608422 0.694344709826429 -1959756.37188454
14000 0.0226822561825813 0.69735679160465 -1959759.43846706
14500 0.0226822561825813 0.750826235496878 -1959683.50530974
15000 0.0231900428043204 0.748691631000557 -1959685.69097152
15500 0.0231900428043204 0.805587438890293 -1959651.55310756
16000 0.0236978294260595 0.803012991407728 -1959604.41137534
16500 0.0236978294260595 0.84825603551507 -1959532.18445583
17000 0.0242056160477986 0.847440663998875 -1959538.15865095
17500 0.0242056160477986 0.898456176560254 -1959485.87123551
18000 0.0247134026695377 0.895344056859031 -1959406.98881811
18500 0.0247134026695377 0.952184286051651 -1959397.86036109
19000 0.0252211892912769 0.954780798199025 -1959434.48747731
19500 0.0252211892912769 1.00097569525132 -1959344.64409894
20000 0.025728975913016 1.00565297909936 -1959355.76162779
20500 0.025728975913016 1.05258581397901 -1959289.34513028
21000 0.0262367625347551 1.05174932897659 -1959271.41762789
21500 0.0262367625347551 1.09935812747498 -1959203.25156425
22000 0.0267445491564942 1.09413216120289 -1959197.63913642
22500 0.0267445491564942 1.14684040893996 -1959144.84884162
23000 0.0272523357782333 1.14479336699997 -1959125.73612757
23500 0.0272523357782333 1.19476546670965 -1959032.14308085
24000 0.0277601223999724 1.19526614698222 -1959049.25508371
24500 0.0277601223999724 1.24427767650592 -1958969.3695059
25000 0.0282679090217115 1.24014170513103 -1958915.63424302
25500 0.0282679090217115 1.29063237041 -1958873.83694401
26000 0.0287756956434507 1.2909363271451 -1958836.0779404
26500 0.0287756956434507 1.33783852027329 -1958777.82553583
27000 0.0292834822651898 1.34406177985172 -1958830.34639032
27500 0.0292834822651898 1.39029960901471 -1958713.06366221
28000 0.0297912688869289 1.38959818054497 -1958677.06981718
28500 0.0297912688869289 1.44152972063391 -1958657.2925815
29000 0.030299055508668 1.44038541414598 -1958625.50626852
