# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 0.112209 0.0166039
10000 0.379346 0.0191428
15000 0.643841 0.0216816
20000 0.893913 0.0242205
25000 1.14286 0.0267593
30000 1.38433 0.0292981
35000 1.6166 0.031837
40000 1.84737 0.0343758
45000 2.07118 0.0369147
50000 2.28901 0.0394535
55000 2.50275 0.0419924
60000 2.70833 0.0445312
65000 2.91232 0.0470701
70000 3.11012 0.0496089
75000 3.30295 0.0521477
80000 3.49215 0.0546866
85000 3.67623 0.0572254
90000 3.85522 0.0597643
95000 4.03066 0.0623031
100000 4.20313 0.064842
105000 4.37206 0.0673808
110000 4.53982 0.0699196
115000 4.70443 0.0724585
120000 4.8609 0.0749973
125000 5.01233 0.0775362
130000 5.15918 0.080075
135000 5.27742 0.0826139
140000 5.27809 0.0851527
145000 5.17981 0.0876916
150000 5.09357 0.0902304
155000 5.0458 0.0927692
160000 4.88034 0.0953081
165000 4.50009 0.0978469
170000 3.76119 0.100386
175000 3.31098 0.102925
180000 3.12621 0.105463
185000 2.92325 0.108002
190000 2.75536 0.110541
195000 2.57562 0.11308
200000 2.41632 0.115619
205000 2.27821 0.118158
210000 2.20284 0.120697
215000 2.09174 0.123235
220000 2.00972 0.125774
225000 1.974 0.128313
230000 1.92679 0.130852
235000 1.87289 0.133391
240000 1.84221 0.13593
245000 1.7945 0.138468
250000 1.76701 0.141007
255000 1.75799 0.143546
260000 1.73928 0.146085
265000 1.70489 0.148624
270000 1.64015 0.151163
275000 1.61737 0.153702
280000 1.59135 0.15624
285000 1.56392 0.158779
290000 1.54061 0.161318
295000 1.53049 0.163857
300000 1.4967 0.166396
305000 1.45757 0.168935
310000 1.41572 0.171473
315000 1.38333 0.174012
320000 1.37693 0.176551
325000 1.37128 0.17909
330000 1.34222 0.181629
335000 1.30176 0.184168
340000 1.29085 0.186706
345000 1.27557 0.189245
350000 1.2691 0.191784
355000 1.2725 0.194323
360000 1.27097 0.196862
365000 1.26226 0.199401
370000 1.25504 0.20194
375000 1.24819 0.204478
380000 1.23125 0.207017
385000 1.22085 0.209556
390000 1.19287 0.212095
395000 1.18854 0.214634
400000 1.16496 0.217173
405000 1.17379 0.219711
410000 1.13163 0.22225
415000 1.10464 0.224789
420000 1.10907 0.227328
425000 1.08464 0.229867
430000 1.09192 0.232406
435000 1.05543 0.234945
440000 1.05779 0.237483
445000 1.05669 0.240022
450000 1.03043 0.242561
455000 1.02804 0.2451
460000 1.0376 0.247639
465000 1.01683 0.250178
470000 1.02405 0.252716
475000 1.00483 0.255255
480000 1.00602 0.257794
485000 1.003 0.260333
490000 1.00453 0.262872
495000 0.986667 0.265411
500000 0.95514 0.267949
505000 0.964433 0.270488
510000 0.950014 0.273027
515000 0.953397 0.275566
520000 0.955042 0.278105
525000 0.929332 0.280644
530000 0.916813 0.283183
535000 0.918121 0.285721
540000 0.908268 0.28826
545000 0.909317 0.290799
550000 0.902809 0.293338
555000 0.899706 0.295877
560000 0.897375 0.298416
565000 0.881898 0.300954
570000 0.880306 0.303493
575000 0.87482 0.306032
580000 0.868454 0.308571
585000 0.863673 0.31111
590000 0.855313 0.313649
595000 0.848735 0.316188
600000 0.851983 0.318726
605000 0.856608 0.321265
610000 0.848021 0.323804
615000 0.840031 0.326343
620000 0.830517 0.328882
625000 0.825621 0.331421
630000 0.814614 0.333959
635000 0.833948 0.336498
640000 0.820117 0.339037
645000 0.813125 0.341576
650000 0.822079 0.344115
655000 0.807524 0.346654
660000 0.811779 0.349192
665000 0.816319 0.351731
670000 0.798839 0.35427
675000 0.807304 0.356809
680000 0.801511 0.359348
685000 0.786247 0.361887
690000 0.790007 0.364426
695000 0.774138 0.366964
700000 0.771886 0.369503
705000 0.769033 0.372042
710000 0.748094 0.374581
715000 0.760013 0.37712
720000 0.742687 0.379659
725000 0.727578 0.382197
730000 0.736002 0.384736
735000 0.719071 0.387275
740000 0.712085 0.389814
745000 0.714701 0.392353
750000 0.696596 0.394892
755000 0.705219 0.397431
760000 0.697472 0.399969
765000 0.690028 0.402508
770000 0.694606 0.405047
775000 0.689 0.407586
