# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 0.110213 0.0165641
10000 0.372149 0.0191028
15000 0.637062 0.0216415
20000 0.883968 0.0241803
25000 1.1282 0.026719
30000 1.36806 0.0292578
35000 1.59579 0.0317965
40000 1.82522 0.0343353
45000 2.04468 0.036874
50000 2.25985 0.0394128
55000 2.47345 0.0419515
60000 2.67369 0.0444902
65000 2.87487 0.047029
70000 3.06899 0.0495677
75000 3.25437 0.0521065
80000 3.44002 0.0546452
85000 3.61637 0.057184
90000 3.78687 0.0597227
95000 3.95666 0.0622615
100000 4.11869 0.0648002
105000 4.26988 0.0673389
110000 4.40917 0.0698777
115000 4.53835 0.0724164
120000 4.66402 0.0749552
125000 4.78102 0.0774939
130000 4.87403 0.0800327
135000 4.87077 0.0825714
140000 4.79044 0.0851102
145000 4.69332 0.0876489
150000 4.54129 0.0901876
155000 4.36272 0.0927264
160000 4.13783 0.0952651
165000 3.80791 0.0978039
170000 3.34548 0.100343
175000 2.86886 0.102881
180000 2.64761 0.10542
185000 2.53278 0.107959
190000 2.41332 0.110498
195000 2.38216 0.113036
200000 2.30202 0.115575
205000 2.17068 0.118114
210000 2.11979 0.120653
215000 2.09013 0.123191
220000 2.03799 0.12573
225000 1.94599 0.128269
230000 1.84753 0.130808
235000 1.78358 0.133346
240000 1.70667 0.135885
245000 1.66289 0.138424
250000 1.6795 0.140963
255000 1.62791 0.143501
260000 1.62288 0.14604
265000 1.59268 0.148579
270000 1.55983 0.151118
275000 1.55609 0.153656
280000 1.54567 0.156195
285000 1.49318 0.158734
290000 1.4513 0.161272
295000 1.39977 0.163811
300000 1.3961 0.16635
305000 1.40151 0.168889
310000 1.39235 0.171427
315000 1.38649 0.173966
320000 1.34863 0.176505
325000 1.29304 0.179044
330000 1.27992 0.181582
335000 1.26038 0.184121
340000 1.26381 0.18666
345000 1.29958 0.189199
350000 1.26919 0.191737
355000 1.23664 0.194276
360000 1.19924 0.196815
365000 1.19042 0.199354
370000 1.22678 0.201892
375000 1.20479 0.204431
380000 1.21943 0.20697
385000 1.22495 0.209509
390000 1.19509 0.212047
395000 1.15953 0.214586
400000 1.07829 0.217125
405000 1.09739 0.219664
410000 1.12216 0.222202
415000 1.10665 0.224741
420000 1.10361 0.22728
425000 1.08779 0.229819
430000 1.04128 0.232357
435000 1.01044 0.234896
440000 0.980595 0.237435
445000 0.958877 0.239974
450000 0.943977 0.242512
455000 0.907316 0.245051
460000 0.908482 0.24759
465000 0.879673 0.250129
470000 0.849379 0.252667
475000 0.826154 0.255206
480000 0.82033 0.257745
485000 0.797019 0.260284
490000 0.814431 0.262822
495000 0.81271 0.265361
500000 0.794097 0.2679
505000 0.795307 0.270439
510000 0.774589 0.272977
515000 0.769172 0.275516
520000 0.783786 0.278055
525000 0.75787 0.280593
530000 0.752603 0.283132
535000 0.761914 0.285671
540000 0.736945 0.28821
545000 0.740484 0.290748
550000 0.746467 0.293287
555000 0.711072 0.295826
560000 0.734245 0.298365
565000 0.727217 0.300903
570000 0.709223 0.303442
575000 0.71452 0.305981
580000 0.691152 0.30852
585000 0.689411 0.311058
590000 0.690336 0.313597
595000 0.678925 0.316136
600000 0.673282 0.318675
605000 0.664445 0.321213
610000 0.662785 0.323752
615000 0.656481 0.326291
620000 0.65217 0.32883
625000 0.654331 0.331368
630000 0.651201 0.333907
635000 0.637422 0.336446
640000 0.643044 0.338985
645000 0.634181 0.341523
650000 0.619628 0.344062
655000 0.631751 0.346601
660000 0.609637 0.34914
665000 0.609449 0.351678
670000 0.60879 0.354217
675000 0.599127 0.356756
680000 0.607881 0.359295
685000 0.605391 0.361833
690000 0.591738 0.364372
695000 0.604379 0.366911
700000 0.591287 0.36945
705000 0.576135 0.371988
710000 0.584511 0.374527
715000 0.571598 0.377066
720000 0.573753 0.379605
725000 0.573488 0.382143
730000 0.557806 0.384682
735000 0.558905 0.387221
740000 0.554865 0.389759
745000 0.545328 0.392298
750000 0.547274 0.394837
755000 0.543112 0.397376
760000 0.538983 0.399914
765000 0.539009 0.402453
770000 0.537437 0.404992
775000 0.53803 0.407531
780000 0.534284 0.410069
785000 0.529164 0.412608
790000 0.520353 0.415147
795000 0.522808 0.417686
800000 0.5133 0.420224
805000 0.516808 0.422763
810000 0.510448 0.425302
815000 0.503937 0.427841
820000 0.509012 0.430379
825000 0.499193 0.432918
830000 0.491909 0.435457
835000 0.493757 0.437996
840000 0.477124 0.440534
845000 0.475151 0.443073
850000 0.471566 0.445612
855000 0.455422 0.448151
860000 0.459044 0.450689
865000 0.447363 0.453228
870000 0.448616 0.455767
875000 0.447855 0.458306
880000 0.443621 0.460844
