# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 -5.68117 0.00105256
10000 -5.22448 0.00355257
15000 -4.88276 0.00605257
20000 -4.53505 0.00855258
25000 -4.20858 0.0110526
30000 -3.88618 0.0135526
35000 -3.57518 0.0160526
40000 -3.26374 0.0185526
45000 -2.96469 0.0210526
50000 -2.66788 0.0235526
55000 -2.37969 0.0260526
60000 -2.09607 0.0285526
65000 -1.81701 0.0310526
70000 -1.54699 0.0335526
75000 -1.28075 0.0360527
80000 -1.0227 0.0385527
85000 -0.766412 0.0410527
90000 -0.51763 0.0435527
95000 -0.270943 0.0460527
100000 -0.0257252 0.0485527
105000 0.208904 0.0510527
110000 0.440446 0.0535527
115000 0.666973 0.0560527
120000 0.889171 0.0585527
125000 1.10723 0.0610527
130000 1.32205 0.0635527
135000 1.53158 0.0660527
140000 1.73731 0.0685527
145000 1.93899 0.0710527
150000 2.13627 0.0735527
155000 2.32722 0.0760528
160000 2.51464 0.0785528
165000 2.70183 0.0810528
170000 2.89232 0.0835528
175000 3.08997 0.0860528
180000 3.31078 0.0885528
185000 3.51599 0.0910528
190000 3.69795 0.0935528
195000 3.85092 0.0960528
200000 3.98389 0.0985528
205000 4.10769 0.101053
210000 4.21477 0.103553
215000 4.33313 0.106053
220000 4.45065 0.108553
225000 4.56562 0.111053
230000 4.66478 0.113553
235000 4.77142 0.116053
240000 4.86492 0.118553
245000 4.94481 0.121053
250000 4.99115 0.123553
255000 4.99098 0.126053
260000 4.82375 0.128553
265000 4.42803 0.131053
270000 3.69381 0.133553
275000 3.00144 0.136053
280000 2.39743 0.138553
285000 2.01383 0.141053
290000 1.84324 0.143553
295000 1.6962 0.146053
300000 1.58533 0.148553
305000 1.48556 0.151053
310000 1.3904 0.153553
315000 1.33812 0.156053
320000 1.29232 0.158553
325000 1.26019 0.161053
330000 1.25002 0.163553
335000 1.20375 0.166053
340000 1.15806 0.168553
345000 1.11213 0.171053
350000 1.09293 0.173553
355000 1.02341 0.176053
360000 0.971571 0.178553
365000 0.932323 0.181053
370000 0.881512 0.183553
375000 0.818332 0.186053
380000 0.78887 0.188553
385000 0.766466 0.191053
390000 0.74743 0.193553
395000 0.743511 0.196053
400000 0.71401 0.198553
405000 0.694464 0.201053
410000 0.685534 0.203553
415000 0.654263 0.206053
420000 0.632806 0.208553
425000 0.635527 0.211053
430000 0.621887 0.213553
435000 0.603855 0.216053
440000 0.593761 0.218553
445000 0.578438 0.221053
450000 0.589424 0.223553
455000 0.581229 0.226053
460000 0.563349 0.228553
465000 0.594303 0.231053
470000 0.568094 0.233553
475000 0.561955 0.236053
480000 0.577868 0.238553
485000 0.558076 0.241053
490000 0.567095 0.243553
495000 0.565424 0.246053
500000 0.555934 0.248553
505000 0.567462 0.251053
510000 0.552571 0.253553
515000 0.54319 0.256053
520000 0.551139 0.258553
525000 0.539173 0.261053
530000 0.54632 0.263553
535000 0.544681 0.266053
540000 0.531078 0.268553
545000 0.5321 0.271053
