step-aa strain-aa stress-aa energy-aa
500 0.0155866804147064 -0.00129955440009627 -1960359.29995026
1000 0.0160944737549138 -0.0103873506492438 -1960338.13280201
1500 0.0160944737549138 0.0416253243794669 -1960322.40730805
2000 0.0166022670951212 0.0470404746828886 -1960345.17149866
2500 0.0166022670951212 0.110583016516041 -1960300.17480813
3000 0.0171100604353285 0.117761307306735 -1960336.65559382
3500 0.0171100604353285 0.167297331137731 -1960291.05980391
4000 0.0176178537755359 0.16291248808154 -1960313.32665716
4500 0.0176178537755359 0.213039918090391 -1960269.17554233
5000 0.0181256471157432 0.214422669669507 -1960280.97228612
5500 0.0181256471157432 0.273617471639137 -1960234.401945
6000 0.0186334404559506 0.276410408992861 -1960248.07843039
6500 0.0186334404559506 0.336264187757106 -1960203.28610358
7000 0.0191412337961579 0.339747196559636 -1960207.48969014
7500 0.0191412337961579 0.394153424497011 -1960153.88119834
8000 0.0196490271363653 0.393367894609511 -1960174.29809236
8500 0.0196490271363653 0.439179556391675 -1960117.65957986
9000 0.0201568204765726 0.433736465582301 -1960109.45485557
9500 0.0201568204765726 0.483006196862062 -1960047.11879174
10000 0.02066461381678 0.485843379518566 -1960049.02515122
10500 0.02066461381678 0.54288356247235 -1960007.40795065
11000 0.0211724071569873 0.541642885236276 -1960008.02335013
11500 0.0211724071569873 0.602037129748201 -1959996.32489995
12000 0.0216802004971947 0.596902881306415 -1959947.41068516
12500 0.0216802004971947 0.64339713382904 -1959892.03568794
13000 0.022187993837402 0.637254037102185 -1959882.63826569
13500 0.022187993837402 0.69961267423701 -1959889.28935942
14000 0.0226957871776094 0.693875377811987 -1959807.27159118
14500 0.0226957871776094 0.755472698852261 -1959818.99830862
15000 0.0232035805178168 0.754351964204007 -1959815.96118045
15500 0.0232035805178168 0.802787242021864 -1959701.20997373
16000 0.0237113738580241 0.803423448707663 -1959728.84130903
16500 0.0237113738580241 0.850996161946503 -1959660.59957275
17000 0.0242191671982314 0.849496911382423 -1959674.18241477
17500 0.0242191671982314 0.901304562181585 -1959630.31987007
18000 0.0247269605384388 0.900682540230455 -1959575.11273127
18500 0.0247269605384388 0.952218374566885 -1959483.3352821
19000 0.0252347538786462 0.956899265870222 -1959548.16095657
19500 0.0252347538786462 1.00379316939393 -1959438.08065032
20000 0.0257425472188535 1.00366462442525 -1959405.00015534
20500 0.0257425472188535 1.05202785365819 -1959363.23423848
21000 0.0262503405590608 1.05372716058182 -1959425.41954934
21500 0.0262503405590608 1.10104695521962 -1959341.95481758
22000 0.0267581338992683 1.09575574873503 -1959252.11264977
22500 0.0267581338992683 1.14495705968587 -1959191.27872877
23000 0.0272659272394756 1.14546021393488 -1959190.54800959
23500 0.0272659272394756 1.19624941548171 -1959157.0959101
24000 0.0277737205796829 1.19507878409083 -1959137.95560186
24500 0.0277737205796829 1.23983089715039 -1959046.20525667
25000 0.0282815139198902 1.2430085517665 -1959092.33465381
25500 0.0282815139198902 1.29385039324918 -1958993.02577627
26000 0.0287893072600977 1.29033902443162 -1958953.76259731
26500 0.0287893072600977 1.34055648876365 -1958894.93919095
27000 0.029297100600305 1.33856404125013 -1958905.8827029
27500 0.029297100600305 1.39097339966284 -1958824.76558246
28000 0.0298048939405123 1.38883782057415 -1958845.95021867
28500 0.0298048939405123 1.43481480120618 -1958712.20998668
29000 0.0303126872807196 1.43550610170148 -1958701.47267217
29500 0.0303126872807196 1.48331422673459 -1958612.5342115
30000 0.0308204806209271 1.48392523799903 -1958605.48711986
30500 0.0308204806209271 1.53420585205153 -1958523.71373023
31000 0.0313282739611344 1.53440333685785 -1958556.45026472
31500 0.0313282739611344 1.57951395470601 -1958450.81716675
32000 0.0318360673013417 1.57702280623541 -1958441.87540585
32500 0.0318360673013417 1.6310824158562 -1958372.19614123
33000 0.0323438606415492 1.62871455458043 -1958380.03176171
33500 0.0323438606415492 1.67014081698585 -1958223.55594265
34000 0.0328516539817565 1.67099977288513 -1958263.99275985
34500 0.0328516539817565 1.71801944172065 -1958182.94451926
35000 0.0333594473219638 1.71850717993693 -1958191.94035184
35500 0.0333594473219638 1.75845891965688 -1958101.52580008
36000 0.0338672406621711 1.75682833389658 -1958040.28279056
36500 0.0338672406621711 1.80789631981332 -1957982.02312861
37000 0.0343750340023786 1.80266318270884 -1957932.60407334
37500 0.0343750340023786 1.85384311835469 -1957876.61562772
38000 0.0348828273425859 1.85466326319478 -1957888.84346403
38500 0.0348828273425859 1.8994650764643 -1957757.86281196
39000 0.0353906206827932 1.89389097373849 -1957721.30408191
39500 0.0353906206827932 1.94263724841524 -1957639.54370231
40000 0.0358984140230005 1.93905911868062 -1957640.52427519
40500 0.0358984140230005 1.98806956730657 -1957565.95966468
41000 0.036406207363208 1.98914026716345 -1957590.2508864
41500 0.036406207363208 2.03118331374218 -1957425.87955094
42000 0.0369140007034153 2.03358571252484 -1957424.35750367
42500 0.0369140007034153 2.07634019539079 -1957273.52970253
43000 0.0374217940436226 2.0756375372307 -1957313.99987517
43500 0.0374217940436226 2.11804618472971 -1957180.77495083
44000 0.0379295873838301 2.11886306647375 -1957178.19257296
44500 0.0379295873838301 2.16313289740687 -1957060.96431001
45000 0.0384373807240374 2.16712914931601 -1957125.92052793
45500 0.0384373807240374 2.20858174624523 -1956969.87119175
46000 0.0389451740642447 2.20751025541724 -1956986.1765026
46500 0.0389451740642447 2.25112346579055 -1956848.1601542
47000 0.039452967404452 2.25327970344936 -1956843.64259607
47500 0.039452967404452 2.29680861531049 -1956754.31582851
48000 0.0399607607446595 2.29225267659968 -1956751.62817362
