step-ia strain-ia stress-ia energy-ia
500 0.0154915311735161 0.00399524469883447 -1960645.2466088
1000 0.0159992769391029 0.00629310335458573 -1960659.0129787
1500 0.0159992769391029 0.0612041584775882 -1960629.23863589
2000 0.0165070227046897 0.0556796249203359 -1960569.87746826
2500 0.0165070227046897 0.112678710407748 -1960590.60497056
3000 0.0170147684702765 0.115192864981642 -1960601.91082456
3500 0.0170147684702765 0.166098832554795 -1960541.48695604
4000 0.0175225142358632 0.165267852649613 -1960523.28699817
4500 0.0175225142358632 0.221823908010648 -1960492.89620027
5000 0.01803026000145 0.221694754205813 -1960490.22651574
5500 0.01803026000145 0.27430038849806 -1960435.84319955
6000 0.0185380057670368 0.27700365860164 -1960444.17814003
6500 0.0185380057670368 0.326371132214398 -1960383.82739229
7000 0.0190457515326234 0.33038022090584 -1960409.91362658
7500 0.0190457515326234 0.38337542444516 -1960380.79577165
8000 0.0195534972982102 0.377192373960087 -1960332.58033728
8500 0.0195534972982102 0.433829116243452 -1960295.06998369
9000 0.020061243063797 0.43228561148308 -1960280.77299633
9500 0.020061243063797 0.481457383181216 -1960214.87276499
10000 0.0205689888293837 0.483042964688546 -1960252.70309773
10500 0.0205689888293837 0.531341813653465 -1960181.01926772
11000 0.0210767345949705 0.532153734356285 -1960165.04428095
11500 0.0210767345949705 0.583638516523762 -1960124.01624783
12000 0.0215844803605573 0.581643264365811 -1960127.99809128
12500 0.0215844803605573 0.63536010298196 -1960064.8339947
13000 0.022092226126144 0.63647349748199 -1960091.49630413
13500 0.022092226126144 0.689187594850049 -1959995.81439112
14000 0.0225999718917308 0.681976116607726 -1959943.98250108
14500 0.0225999718917308 0.735357242622514 -1959922.35802545
15000 0.0231077176573176 0.735815035710585 -1959928.31817219
15500 0.0231077176573176 0.789191606556378 -1959884.26310602
16000 0.0236154634229042 0.785412239225894 -1959834.85721269
16500 0.0236154634229042 0.831919473164699 -1959732.94187573
17000 0.024123209188491 0.839823783456663 -1959780.93989383
17500 0.024123209188491 0.88923138973618 -1959723.68736846
18000 0.0246309549540779 0.892262154593584 -1959704.98783937
18500 0.0246309549540779 0.939904343905198 -1959626.58215895
19000 0.0251387007196645 0.938432535620667 -1959652.5973025
19500 0.0251387007196645 0.986042435376266 -1959549.73871944
20000 0.0256464464852513 0.985722718721489 -1959549.27004586
20500 0.0256464464852513 1.03739435646293 -1959471.8528175
21000 0.0261541922508381 1.03705358066119 -1959453.96775838
21500 0.0261541922508381 1.08800161018762 -1959410.59310331
22000 0.0266619380164248 1.08629249939349 -1959407.40309978
22500 0.0266619380164248 1.13375247030411 -1959324.06240726
23000 0.0271696837820116 1.13454044385642 -1959344.92652311
23500 0.0271696837820116 1.17867575164705 -1959230.32341331
24000 0.0276774295475984 1.17919354423317 -1959211.16432886
24500 0.0276774295475984 1.22924191466622 -1959163.17596612
25000 0.0281851753131851 1.22903563030859 -1959179.8856953
25500 0.0281851753131851 1.27777263577158 -1959056.53484638
26000 0.0286929210787719 1.2765294621898 -1959071.85920244
26500 0.0286929210787719 1.32707759332469 -1959001.43312417
27000 0.0292006668443587 1.32748674195418 -1959022.39551149
27500 0.0292006668443587 1.37431348381004 -1958899.35559686
28000 0.0297084126099453 1.37060174879073 -1958885.41735793
28500 0.0297084126099453 1.41815609618158 -1958809.27161875
29000 0.0302161583755321 1.42078478838482 -1958801.71278754
29500 0.0302161583755321 1.47304420384757 -1958765.93090015
30000 0.0307239041411189 1.47399911250797 -1958740.04223571
30500 0.0307239041411189 1.51717633565084 -1958637.52974037
31000 0.0312316499067056 1.51448046991395 -1958599.81496062
31500 0.0312316499067056 1.56325885081894 -1958508.17551308
32000 0.0317393956722924 1.5642304746674 -1958515.54633446
32500 0.0317393956722924 1.60764022123922 -1958400.30788336
33000 0.0322471414378792 1.61321288624246 -1958494.49040197
33500 0.0322471414378792 1.65345091074569 -1958325.66889663
34000 0.0327548872034659 1.65112518994313 -1958302.71207545
34500 0.0327548872034659 1.69811873486416 -1958198.750847
35000 0.0332626329690527 1.70120619916061 -1958238.62392901
35500 0.0332626329690527 1.74544943150206 -1958124.21590265
36000 0.0337703787346395 1.74610106477076 -1958157.08754825
36500 0.0337703787346395 1.78917106146827 -1957998.39888891
37000 0.0342781245002261 1.78866111430782 -1958038.86394417
37500 0.0342781245002261 1.83535377845308 -1957912.15941569
38000 0.0347858702658129 1.8346736963993 -1957901.35318565
38500 0.0347858702658129 1.88040358065596 -1957793.03538488
39000 0.0352936160313998 1.87956148751801 -1957787.45768221
39500 0.0352936160313998 1.9275100767297 -1957719.61712238
40000 0.0358013617969864 1.92461619040716 -1957712.46014605
40500 0.0358013617969864 1.97114035189714 -1957614.48689507
41000 0.0363091075625732 1.96956600508797 -1957598.28683977
41500 0.0363091075625732 2.01048204472649 -1957432.39580721
42000 0.03681685332816 2.01360178177513 -1957485.45300215
42500 0.03681685332816 2.06105932092497 -1957364.77996267
43000 0.0373245990937467 2.05935092112682 -1957358.98219461
43500 0.0373245990937467 2.10457410045576 -1957243.86095281
44000 0.0378323448593335 2.10257500169159 -1957239.65941191
44500 0.0378323448593335 2.15253125800673 -1957161.6868114
45000 0.0383400906249203 2.14906387425299 -1957126.4120918
45500 0.0383400906249203 2.19400653153825 -1957039.34603983
46000 0.038847836390507 2.19617379663869 -1957053.8570548
46500 0.038847836390507 2.2354144970544 -1956887.93148016
47000 0.0393555821560938 2.23330967162948 -1956864.32890567
