# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 0.119975 0.016628
10000 0.383117 0.0191669
15000 0.647434 0.0217058
20000 0.897256 0.0242447
25000 1.14501 0.0267836
30000 1.38571 0.0293225
35000 1.61734 0.0318614
40000 1.84798 0.0344003
45000 2.06834 0.0369392
50000 2.28553 0.0394781
55000 2.49909 0.042017
60000 2.70204 0.0445559
65000 2.90569 0.0470948
70000 3.10106 0.0496337
75000 3.29073 0.0521726
80000 3.47984 0.0547116
85000 3.66477 0.0572505
90000 3.84156 0.0597894
95000 4.01772 0.0623283
100000 4.1868 0.0648672
105000 4.34771 0.0674061
110000 4.50985 0.069945
115000 4.66664 0.0724839
120000 4.81599 0.0750228
125000 4.95366 0.0775617
130000 5.0678 0.0801006
135000 5.09842 0.0826395
140000 5.07342 0.0851784
145000 5.06207 0.0877173
150000 5.05434 0.0902562
155000 4.97133 0.0927951
160000 4.75461 0.095334
165000 4.33542 0.0978729
170000 3.77709 0.100412
175000 3.28055 0.102951
180000 2.88137 0.10549
185000 2.54462 0.108029
190000 2.22037 0.110567
195000 1.89381 0.113106
200000 1.64513 0.115645
205000 1.50166 0.118184
210000 1.397 0.120723
215000 1.32408 0.123262
220000 1.26867 0.125801
225000 1.20209 0.12834
230000 1.17065 0.130879
235000 1.14023 0.133418
240000 1.12995 0.135956
245000 1.09105 0.138495
250000 1.06428 0.141034
255000 1.02767 0.143573
260000 1.00384 0.146112
265000 0.993214 0.148651
270000 0.980078 0.15119
275000 0.961228 0.153729
280000 0.951425 0.156268
285000 0.94893 0.158807
290000 0.907626 0.161346
295000 0.909505 0.163884
300000 0.916347 0.166423
305000 0.900982 0.168962
310000 0.905321 0.171501
315000 0.888299 0.17404
320000 0.881504 0.176579
325000 0.880539 0.179118
330000 0.854692 0.181657
335000 0.862334 0.184196
340000 0.831687 0.186735
345000 0.806847 0.189273
350000 0.821212 0.191812
355000 0.793351 0.194351
360000 0.810674 0.19689
365000 0.793388 0.199429
370000 0.767938 0.201968
375000 0.786292 0.204507
380000 0.766896 0.207046
385000 0.774068 0.209585
390000 0.782904 0.212124
395000 0.759028 0.214663
400000 0.764397 0.217201
405000 0.775503 0.21974
410000 0.763301 0.222279
415000 0.767544 0.224818
420000 0.744862 0.227357
425000 0.728111 0.229896
430000 0.73938 0.232435
435000 0.729316 0.234974
440000 0.727168 0.237513
445000 0.73547 0.240052
450000 0.712196 0.24259
455000 0.706691 0.245129
460000 0.705265 0.247668
465000 0.688781 0.250207
470000 0.699047 0.252746
475000 0.691278 0.255285
480000 0.68945 0.257824
485000 0.691353 0.260363
490000 0.688985 0.262902
495000 0.685338 0.265441
500000 0.695629 0.26798
505000 0.675413 0.270518
510000 0.670777 0.273057
515000 0.671945 0.275596
520000 0.658176 0.278135
525000 0.665845 0.280674
530000 0.655296 0.283213
535000 0.647851 0.285752
540000 0.649214 0.288291
545000 0.636291 0.29083
550000 0.628365 0.293369
555000 0.629058 0.295907
560000 0.61742 0.298446
565000 0.620629 0.300985
570000 0.60599 0.303524
575000 0.609818 0.306063
580000 0.608923 0.308602
585000 0.600066 0.311141
590000 0.601129 0.31368
595000 0.604999 0.316219
600000 0.591901 0.318758
605000 0.600787 0.321296
610000 0.589572 0.323835
615000 0.584707 0.326374
620000 0.59614 0.328913
625000 0.574942 0.331452
630000 0.581828 0.333991
635000 0.57935 0.33653
640000 0.574751 0.339069
645000 0.57178 0.341608
650000 0.564288 0.344147
655000 0.563054 0.346686
660000 0.562344 0.349224
665000 0.5611 0.351763
670000 0.554889 0.354302
675000 0.558056 0.356841
680000 0.549877 0.35938
685000 0.551105 0.361919
690000 0.549201 0.364458
695000 0.541271 0.366997
700000 0.548544 0.369536
705000 0.53763 0.372075
710000 0.538377 0.374613
715000 0.533301 0.377152
720000 0.528727 0.379691
725000 0.520033 0.38223
730000 0.52046 0.384769
735000 0.511804 0.387308
740000 0.510344 0.389847
745000 0.506462 0.392386
750000 0.500185 0.394925
755000 0.491637 0.397464
760000 0.49913 0.400003
765000 0.485371 0.402541
770000 0.482321 0.40508
775000 0.494394 0.407619
780000 0.472612 0.410158
785000 0.478308 0.412697
790000 0.474907 0.415236
795000 0.463654 0.417775
800000 0.472656 0.420314
805000 0.466317 0.422853
810000 0.456927 0.425392
815000 0.465477 0.42793
820000 0.451279 0.430469
825000 0.448513 0.433008
830000 0.453643 0.435547
835000 0.434244 0.438086
840000 0.444878 0.440625
845000 0.434553 0.443164
850000 0.422119 0.445703
855000 0.431523 0.448242
